73	13	18-9-2015	-83.98066784	9.84055459	5.8	34.13
74	14	3-9-2015	-83.91212654	10.03812825	5.3	20.81
75	15	26-8-2015	-83.71177504	9.90814558	3.5	1.69
76	16	26-7-2015	-83.68014060	10.12131716	4.5	52.32
77	17	16-7-2015	-83.58523726	9.95493934	6.4	47.19
78	18	8-7-2015	-83.74340949	9.71057192	5.8	33.02
79	19	1-7-2015	-83.51669596	9.70537262	7.9	5.99
80	20	24-6-2015	-83.35325132	9.85095321	2.1	4.69
81	21	11-6-2015	-83.79613357	9.50779896	6.2	3.58
82	22	23-5-2015	-83.56414763	9.48700173	2.5	24.01
83	23	17-5-2015	-83.31107206	9.10225303	6.6	13.66
84	24	3-5-2015	-83.07908612	9.28422877	5.7	5.08
85	25	2-5-2015	-82.98945518	8.98266898	5.5	50.18
86	26	18-4-2015	-83.20035149	8.87348354	3.9	64.50
87	27	6-4-2015	-82.86291740	9.14904679	4.1	63.39
88	28	5-2-2015	-82.76274165	8.93587522	5.1	23.98
89	29	5-2-2015	-82.84710018	8.74350087	2.6	24.19
90	30	4-2-2015	-84.99824253	10.83882149	3.3	65.70
91	31	19-1-2015	-85.40949033	11.00000000	5.8	6.95
92	32	4-1-2015	-85.67838313	10.83362218	6.1	17.09
93	1	31-12-2014	-85.43585237	11.07798960	4.2	9.34
94	2	28-12-2014	-85.30404218	10.79202773	3.8	15.39
95	3	28-12-2014	-84.95079086	10.65684575	3.0	2.97
96	4	7-12-2014	-84.78734622	10.78162912	5.2	38.14
97	5	23-11-2014	-84.56063269	10.58925477	4.4	56.67
98	6	7-11-2014	-84.44991213	10.79202773	3.8	6.73
99	7	28-10-2014	-84.24428822	10.51646447	3.0	1.58
100	8	25-10-2014	-84.46045694	10.39688042	6.8	66.93
101	9	23-10-2014	-84.27592267	10.62564991	7.8	15.06
102	10	22-10-2014	-84.02284710	10.45927210	7.9	50.92
103	11	2-10-2014	-83.99648506	10.66724437	2.3	18.33
104	12	18-9-2014	-83.78031634	10.56325823	4.6	16.96
105	13	11-9-2014	-83.86467487	10.31889081	2.0	47.77
106	14	1-9-2014	-84.15465729	10.24610052	3.0	34.64
107	15	19-8-2014	-83.99648506	10.19930676	6.9	58.48
108	16	18-8-2014	-83.80140598	10.13691508	2.6	44.37
109	17	14-8-2014	-83.69068541	10.28769497	2.8	35.40
110	18	23-7-2014	-83.89103691	9.96013865	7.0	39.77
111	19	30-6-2014	-83.73813708	9.36741768	6.3	33.35
112	20	26-6-2014	-83.46924429	9.39341421	4.8	59.87
113	21	20-6-2014	-83.52196837	9.22183709	6.4	11.61
114	22	19-6-2014	-83.69068541	9.06585789	2.2	56.82
115	23	24-5-2014	-83.46397188	9.07105719	6.1	24.98
116	24	22-5-2014	-83.25307557	9.20103986	5.4	24.12
117	25	8-4-2014	-83.11072056	8.87868284	2.2	65.31
118	26	29-3-2014	-83.26889279	8.72270364	6.1	37.74
119	27	16-3-2014	-83.05272408	8.70710572	3.4	40.24
120	28	12-3-2014	-82.95254833	8.96707106	6.7	4.31
121	29	27-2-2014	-82.90509666	9.23743501	2.3	49.41
122	30	19-2-2014	-82.68892794	9.13344887	5.1	39.39
123	31	13-2-2014	-84.71880492	9.75216638	3.0	68.18
124	32	28-1-2014	-83.21616872	10.48006932	7.9	28.72
125	1	4-12-2013	-84.10720562	10.08492201	7.4	60.19
126	2	19-10-2013	-83.97539543	9.79896014	6.0	45.49
127	3	7-9-2013	-83.82776801	10.07452340	5.0	21.98
128	4	25-8-2013	-83.70650264	9.88214905	5.3	27.33
129	5	23-8-2013	-83.56942004	10.03812825	6.5	16.82
130	6	25-7-2013	-83.35852373	9.67417678	4.9	64.30
131	7	28-6-2013	-83.17926186	9.58578856	7.4	7.80
132	8	27-6-2013	-83.37961336	9.45060659	2.0	58.67
133	9	13-6-2013	-83.19507909	9.36221837	5.9	13.37
134	10	12-5-2013	-83.68014060	9.41421144	7.4	59.09
135	11	10-5-2013	-83.62214411	9.20103986	7.1	26.20
136	12	25-4-2013	-83.35852373	9.12305026	3.9	63.01
137	13	23-4-2013	-83.53778559	8.94627383	4.2	54.99
138	14	23-4-2013	-82.98945518	9.08665511	2.2	41.65
139	15	28-2-2013	-84.27065026	9.62218371	7.3	19.50
140	16	24-2-2013	-84.51318102	9.90294627	4.8	27.97
141	17	1-2-2013	-84.32337434	10.13171577	2.2	22.61
142	18	30-1-2013	-83.99121265	10.23050260	7.0	1.27
